tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
131,0.713867,0.769043,0.750488,0.764648,0.761230,0.018555,0.004395,0.007812,2.4127,0.5714,1.0159
132,0.740723,0.766602,0.749512,0.763184,0.759277,0.017090,0.003418,0.007324,2.2293,0.4459,0.9554
133,0.707031,0.761719,0.747070,0.756836,0.754395,0.014648,0.004883,0.007324,1.9231,0.6410,0.9615
134,0.690918,0.755859,0.743652,0.751953,0.749023,0.012207,0.003906,0.006836,1.6150,0.5168,0.9044
135,0.793945,0.759277,0.746582,0.756836,0.752441,0.012695,0.002441,0.006836,1.6720,0.3215,0.9003
136,0.758301,0.758789,0.747559,0.757324,0.752441,0.011230,0.001465,0.006348,1.4801,0.1931,0.8366
137,0.849609,0.766113,0.753906,0.764648,0.759766,0.012207,0.001465,0.006348,1.5934,0.1912,0.8286
138,0.700684,0.760742,0.750488,0.759766,0.754395,0.010254,0.000977,0.006348,1.3479,0.1284,0.8344
139,0.811523,0.765137,0.753906,0.765625,0.758789,0.011230,0.000488,0.006348,1.4678,0.0638,0.8296
140,0.729004,0.762207,0.752441,0.762207,0.755859,0.009766,0.000000,0.006348,1.2812,0.0000,0.8328
141,0.835938,0.768555,0.757812,0.767578,0.762207,0.010742,0.000977,0.006348,1.3977,0.1271,0.8259
142,0.796387,0.770996,0.759766,0.770996,0.764160,0.011230,0.000000,0.006836,1.4566,0.0000,0.8866
143,0.821289,0.775391,0.763672,0.772949,0.768066,0.011719,0.002441,0.007324,1.5113,0.3149,0.9446
144,0.715332,0.770508,0.760742,0.768555,0.763672,0.009766,0.001953,0.006836,1.2674,0.2535,0.8872
145,0.814453,0.774414,0.764160,0.772461,0.767090,0.010254,0.001953,0.007324,1.3241,0.2522,0.9458
146,0.774902,0.774902,0.765137,0.773438,0.767578,0.009766,0.001465,0.007324,1.2602,0.1890,0.9452
147,0.831055,0.779785,0.769531,0.777832,0.772461,0.010254,0.001953,0.007324,1.3150,0.2505,0.9393
148,0.764160,0.778320,0.769043,0.775879,0.771484,0.009277,0.002441,0.006836,1.1920,0.3137,0.8783
149,0.746094,0.775391,0.767578,0.774414,0.769043,0.007812,0.000977,0.006348,1.0076,0.1259,0.8186
150,0.878418,0.783691,0.774414,0.781738,0.777344,0.009277,0.001953,0.006348,1.1838,0.2492,0.8100
151,0.708008,0.777344,0.770020,0.774902,0.771484,0.007324,0.002441,0.005859,0.9422,0.3141,0.7538
152,0.711426,0.771973,0.766602,0.768066,0.766113,0.005371,0.003906,0.005859,0.6958,0.5060,0.7590
153,0.833984,0.777344,0.770508,0.773926,0.770996,0.006836,0.003418,0.006348,0.8794,0.4397,0.8166
154,0.716309,0.771973,0.767090,0.768555,0.766113,0.004883,0.003418,0.005859,0.6325,0.4428,0.7590
155,0.780273,0.772949,0.767578,0.769531,0.766602,0.005371,0.003418,0.006348,0.6949,0.4422,0.8212
156,0.791504,0.774902,0.769043,0.770508,0.768066,0.005859,0.004395,0.006836,0.7561,0.5671,0.8822
157,0.828125,0.779297,0.772949,0.773438,0.772461,0.006348,0.005859,0.006836,0.8145,0.7519,0.8772
158,0.788574,0.780273,0.773926,0.774414,0.773438,0.006348,0.005859,0.006836,0.8135,0.7509,0.8761
159,0.758789,0.778320,0.772949,0.771973,0.771973,0.005371,0.006348,0.006348,0.6901,0.8156,0.8156
160,0.715332,0.772949,0.769531,0.768555,0.767090,0.003418,0.004395,0.005859,0.4422,0.5685,0.7581
